"IDEBIEN","CATEGORIE","TYPE","IDP","VILLE","PRIX","DESIGNATION","SUPERFICIE"
1,"APPARTEMENT","T2",4358,"AIX-EN-PROVENCE",225000,"APPARTEMENT T2",39
7,"APPARTEMENT","T2",4358,"AIX-EN-PROVENCE",300000,"APPARTEMENT T2",46
14,"APPARTEMENT","T4",105,"AIX-EN-PROVENCE",444000,"APPARTEMENT T4",96
25,"MAISON DE VILLE","T4",4358,"MANOSQUE",439000,"MAISON T4",117
38,"VILLA","T6",4358,"MANOSQUE",635000,"VILLA T6",188
53,"MAISON DE VILLE","T3",2867,"MANOSQUE",383000,"MAISON T3",118
65,"MAISON DE VILLE","T4",2867,"MANOSQUE",352000,"MAISON T4",94
75,"MAISON DE VILLE","T4",2867,"MANOSQUE",310000,"MAISON T4",85
90,"MAISON DE VILLE","T7",9360,"MANOSQUE",495000,"MAISON T7",170
106,"MAISON DE VILLE","T5",9803,"MANOSQUE",269000,"MAISON T5",101
121,"MAISON DE VILLE","T5",1481,"MANOSQUE",297000,"MAISON T5",123
138,"MAISON DE VILLE","T4",1481,"MANOSQUE",420000,"MAISON T4",160
150,"MAISON DE VILLE","T5",2384,"MANOSQUE",292000,"MAISON T5",160
165,"MAISON DE VILLE","T4",8591,"MANOSQUE",275000,"MAISON T4",82
176,"APPARTEMENT","STUDIO",105,"AUBAGNE",110000,"APPARTEMENT STUDIO",34
179,"APPARTEMENT","STUDIO",105,"MARSEILLE",149000,"APPARTEMENT STUDIO",36
183,"APPARTEMENT","STUDIO",2867,"MARIGNANE",85600,"APPARTEMENT STUDIO",30
187,"APPARTEMENT","STUDIO",2867,"MARIGNANE",148400,"APPARTEMENT STUDIO",44
194,"APPARTEMENT","STUDIO",690,"MARIGNANE",134000,"APPARTEMENT STUDIO",32
198,"APPARTEMENT","STUDIO",690,"VITROLLES",121000,"APPARTEMENT STUDIO",35
204,"MAISON DE VILLE","T6",7862,"MARIGNANE",470000,"MAISON T6",120
220,"VILLA","T5",4775,"VITROLLES",379000,"VILLA T5",158
236,"APPARTEMENT","T3",2867,"MARIGNANE",243000,"APPARTEMENT T3",65
245,"APPARTEMENT","T4",2867,"VITROLLES",150000,"APPARTEMENT T4",82
255,"APPARTEMENT","T2",9360,"VITROLLES",120000,"APPARTEMENT T2",51
263,"APPARTEMENT","T2",9360,"AIX-EN-PROVENCE",225000,"APPARTEMENT T2",38
270,"APPARTEMENT","T4",9360,"AIX-EN-PROVENCE",444000,"APPARTEMENT T2",46
279,"APPARTEMENT","T2",3837,"AIX-EN-PROVENCE",300000,"APPARTEMENT T4",96
292,"APPARTEMENT","T5",3837,"AIX-EN-PROVENCE",330000,"APPARTEMENT T5",75
303,"APPARTEMENT","T5",1481,"AIX-EN-PROVENCE",515000,"APPARTEMENT T5",106
315,"APPARTEMENT","T2",1481,"AIX-EN-PROVENCE",316000,"APPARTEMENT T2",43
323,"APPARTEMENT","T5",1481,"AIX-EN-PROVENCE",694000,"APPARTEMENT T5",135
