"IDEBIEN","CATEGORIE","TYPE","IDP","VILLE","PRIX"
1,"APPARTEMENT","T2",105,"AIX-EN-PROVENCE",225000
2,"APPARTEMENT","T2",105,"AIX-EN-PROVENCE",300000
3,"APPARTEMENT","T4",105,"AIX-EN-PROVENCE",444000
4,"MAISON DE VILLE","T4",105,"MANOSQUE",439000
5,"VILLA","T6",105,"MANOSQUE",635000
6,"MAISON DE VILLE","T3",105,"MANOSQUE",383000
7,"MAISON DE VILLE","T4",105,"MANOSQUE",352000
9,"MAISON DE VILLE","T4",105,"MANOSQUE",310000
10,"MAISON DE VILLE","T7",105,"MANOSQUE",495000
11,"MAISON DE VILLE","T5",105,"MANOSQUE",269000
12,"MAISON DE VILLE","T5",105,"MANOSQUE",297000
13,"MAISON DE VILLE","T4",105,"MANOSQUE",420000
14,"MAISON DE VILLE","T5",105,"MANOSQUE",292000
15,"APPARTEMENT","STUDIO",105,"AUBAGNE",110000
16,"APPARTEMENT","STUDIO",105,"MARSEILLE",149000
17,"APPARTEMENT","STUDIO",105,"MARIGNANE",85600
18,"APPARTEMENT","STUDIO",105,"MARIGNANE",148400
19,"APPARTEMENT","STUDIO",105,"MARIGNANE",134000
20,"APPARTEMENT","STUDIO",105,"VITROLLES",121000
21,"MAISON DE VILLE","T6",105,"MARIGNAGNE",470000
22,"VILLA","T5",105,"VITROLLES",379000
23,"APPARTEMENT","T3",105,"MARIGNANE",243000
24,"APPARTEMENT","T4",105,"VITROLLES",150000
25,"APPARTEMENT","T2",105,"VITROLLES",120000
26,"APPARTEMENT","T2",105,"AIX-EN-PROVENCE",225000
27,"APPARTEMENT","T4",105,"AIX-EN-PROVENCE",444000
28,"APPARTEMENT","T5",105,"AIX-EN-PROVENCE",330000
29,"APPARTEMENT","T5",105,"AIX-EN-PROVENCE",515000
30,"APPARTEMENT","T2",105,"AIX-EN-PROVENCE",316000
31,"APPARTEMENT","T5",105,"AIX-EN-PROVENCE",694000
32,"APPARTEMENT","T5",105,"AIX-EN-PROVENCE",330000
33,"APPARTEMENT","T4",105,"AIX-EN-PROVENCE",850000
34,"APPARTEMENT","T3",105,"AIX-EN-PROVENCE",449000
35,"APPARTEMENT","T4",105,"AIX-EN-PROVENCE",485000
36,"APPARTEMENT","T4",105,"AIX-EN-PROVENCE",420000
37,"APPARTEMENT","T4",105,"AIX-EN-PROVENCE",339000
38,"APPARTEMENT","T3",105,"AIX-EN-PROVENCE",376350
39,"APPARTEMENT","T4",105,"AIX-EN-PROVENCE",700000
40,"APPARTEMENT","T3",105,"AIX-EN-PROVENCE",389000
41,"APPARTEMENT","T4",105,"AIX-EN-PROVENCE",519000
42,"APPARTEMENT","T4",105,"AIX-EN-PROVENCE",495000
43,"APPARTEMENT","T4",105,"AIX-EN-PROVENCE",478000
44,"APPARTEMENT","STUDIO",105,"AIX-EN-PROVENCE",119000
45,"APPARTEMENT","T3",105,"AIX-EN-PROVENCE",315000
46,"APPARTEMENT","T3",105,"AIX-EN-PROVENCE",436000
47,"APPARTEMENT","T3",105,"AUBAGNE",512000
48,"APPARTEMENT","T3",105,"AUBAGNE",172000
49,"APPARTEMENT","T4",105,"MONTPELIER",268000
50,"APPARTEMENT","T3",105,"MONTPELIER",279000
51,"APPARTEMENT","T3",105,"MONTPELIER",279000
52,"APPARTEMENT","T3",105,"MARSEILLE",150000
53,"APPARTEMENT","T4",105,"MARSEILLE",205000
54,"APPARTEMENT","T3",105,"MARSEILLE",245000
55,"APPARTEMENT","T3",105,"MARSEILLE",358000
56,"APPARTEMENT","T3",105,"MARSEILLE",259000
57,"MAISON DE VILLE","T5",105,"MARSEILLE",353800
58,"VILLA","T6",105,"MARSEILLE",589000
59,"MAISON DE VILLE","T10",105,"MARSEILLE",1750000
60,"MAISON DE VILLE","T7",105,"MARSEILLE",1095000
61,"MAISON DE VILLE","T7",105,"MARSEILLE",390000
62,"MAISON DE VILLE","T7",105,"MARSEILLE",1290000
63,"MAISON DE VILLE","T4",105,"MARSEILLE",444800
64,"MAISON DE VILLE","T7",105,"MARSEILLE",2240000
65,"MAISON DE VILLE","T8",105,"MARSEILLE",890000
66,"MAISON DE VILLE","T8",105,"MARSEILLE",648000
67,"MAISON DE VILLE","T2",105,"MARSEILLE",155000
68,"VILLA","T4",105,"MARSEILLE",925000
69,"VILLA","T6",105,"MARSEILLE",1250000
70,"VILLA","T7",105,"MARSEILLE",750000
71,"VILLA","T7",105,"MARSEILLE",1240000
